status;replacement_uniqueName;replacement_sourceID;tag;uniqueName;sourceID
S;nyheter_sport_resultater;24;15039000;nyheter_sport_resultater_motorsport;1259
S;nyheter_sport_resultater;24;;nyheter_sport_resultater_skeleton;1280
S;nyheter_sport_resultater;24;15009000;nyheter_sport_resultater_skiskyting;1247
S;nyheter_sport_resultater;24;15056000;nyheter_sport_resultater_skoyter;1245
S;nyheter_sport_resultater;24;15062000;nyheter_sport_resultater_svomming;1248
S;nyheter_sport_resultater;24;15019000;nyheter_sport_resultater_sykling;1249
S;nyheter_sport_resultater;24;15067000;nyheter_sport_resultater_volleyball;1246
S;nyheter_sport;20;;nyheter_sport_siste100;397
R;nyheter_sport;20;;nyheter_sport_golf;1839
S;nyheter_sport;20;15027000;nyheter_sport_golf_nyhetsbrev;3456
S;nyheter_sport;20;15039000;nyheter_sport_motorsport;2262
S;nyheter_sport;20;15019000;nyheter_sport_tourdefrance;2343
S;nyheter_sport;20;15019000;nyheter_sport_tourdefrance_direkte;5035
S;nyheter_sport;20;15031000;nyheter_sport_ishockey;2409
S;nyheter_sport;20;15043000;nyheter_sport_langrenn;2410
S;nyheter_sport;20;15009000;nyheter_sport_skiskyting;2411
S;nyheter_sport;20;15029000;nyheter_sport_handball;2412
S;nyheter_sport;20;15005000;nyheter_sport_friidrett;2418
S;nyheter_sport;20;15043000;nyheter_sport_skivm;2710
S;nyheter_sport;20;15043000;nyheter_sport_skivm_blogg;5498
R;nyheter_sport;20;;nyheter_sport_ol;3873
S;nyheter_sport;20;15000001;nyheter_sport_ol_direkte;7431
S;nyheter_sport;20;15054000;NorwayCup;5115
S;nyheter_sport;20;;nyheter_sport_resultatborsen;5235
S;nyheter_sport;20;;nyheter_sport_resultatborsen_logginn;5236
S;nyheter_sport;20;15019000;nyheter_sport_sykkel;5315
S;nyheter_sport;20;;nyheter_sport_idrettsforum;7890
S;nyheter_sport;20;;nyheter_sport_tabeller;23
S;nyheter_sport;20;15054000;nyheter_sport_tabeller_fotball_internasjonal;80
S;nyheter_sport;20;15029000;nyheter_sport_tabeller_handball;1060
S;nyheter_sport;20;15054000;nyheter_sport_tabeller_fotball_norge;211
B;;;;nyheter_siste100;29
R;;;;nyheter_siste48;738
R;;;;nyheter_pressrelease;1659
B;;;;nyheter_okonomi;17
D;;;;oslo;3454
D;;;;oslo_film;3592
D;;;;oslo_bildeserieviser;5297
D;;;;oslo_musikk;3594
D;;;;oslo_fritid;3595
D;;;;oslo_fritid_ski;5655
D;;;;oslo_restaurant;3596
D;;;;oslo_anmeldelser;3597
D;;;;oslo_anmeldelser_sok;3598
D;;;;oslo_hvaskjer;3599
D;;;;oslo_oslobilder;3600
D;;;;oslo_konkurranse;3672
D;;;;oslo_paascenen;3673
D;;;;oslo_siste100;3893
D;;;;oslo_nyhetsbrev;3992
D;;;;oslo_nyhetsbrev_scene;4895
D;;;;oslo_nyhetsbrev_restaurant;4898
D;;;;oslo_nyhetsbrev_film;4897
D;;;;oslo_nyhetsbrev_musikk;4896
D;;;;oslo_forbrukognytte;4113
D;;;;oslo_ufo;4114
D;;;;oslo_spm;4115
D;;;;oslo_profil;4353
D;;;;oslo_kunst;3593
D;;;;english;55
D;;;;english_bildeserier;126
D;;;;english_local;127
D;;;;english_world;128
D;;;;english_business;129
D;;;;english_1905;3169
D;;;;english_webcam;1159
D;;;;english_onlyinnorway;1819
D;;;;english_royals;2199
D;;;;english_sports;130
B;;;;kul_und;30
B;;;;kul_und_musikk;1479
B;;;;kul_und_film;1480
B;;;;kul_und_tv;1759
S;kul_und;30;01011000  ;kul_und_eurovision;9273
B;;;;kul_und_anmeldelser;5423
B;;;;kul_und_spill;6783
B;;;;kul_und_spill_sudoku;6785
S;kul_und_spill;6783;;kul_und_spill_kryssord;6784
S;kul_und;30;;kul_und_fordypning;8412
B;;;;kul_und_litteratur;2567
S;kul_und_litteratur;2567;01010000;kul_und_litteratur_nyhetsbrev;5195
B;;;;spesial;56
S;spesial;56;;spesial_bildeserier;57
D;;;;spesial_test;2219
D;;;;debatt345;6930
D;;;;debatt123;6890
D;;;;debatt123_ver6;6931
S;spesial;56;;spesial_bildeserieviser;4956
S;spesial;56;;bildeserieviser_seksjon;4957
B;;;;spesial_trafikkulykker;10174
B;;;;spesial_wikileaksdokumenter;10094
B;;;;spesial_cablegate;10134
S;spesial;56;;spesial_tipssid;5215
D;;;;forbruker;41
D;;;;forbruker_bil;2746
D;;;;forbruker_bil_nyheter;2747
D;;;;forbruker_bil_tester;2748
D;;;;forbruker_bil_tester_nybiltester;2809
D;;;;forbruker_bil_tester_sok;5095
D;;;;forbruker_bil_tester_bruktbiltester;2811
D;;;;forbruker_bil_tester_provekjoringer;2810
D;;;;forbruker_bil_bruktbil;2749
D;;;;forbruker_bil_mc;2750
D;;;;forbruker_bil_nyhetsbrev;2909
D;;;;forbruker_bil_bileksperter;2753
D;;;;forbruker_bil_bileksperter_nilssen;2841
D;;;;forbruker_bil_bileksperter_jensen;2842
D;;;;forbruker_bil_bileksperter_lothe;2845
D;;;;forbruker_bil_bileksperter_edvardsen;2844
D;;;;forbruker_bil_bileksperter_hakonsen;2843
D;;;;forbruker_bil_kalkulatorer;2769
B;;;;forbruker_bil_kalkulatorer_heftelser;2873
D;;;;forbruker_bil_kalkulatorer_omregistrering;2872
D;;;;forbruker_bil_siste100;2891
D;;;;forbruker_bil_bildeserier;2752
D;;;;forbruker_kalkulatorer;2789
D;;;;forbruker_kalkulatorer_boligkalkulator;5881
D;;;;forbruker_kalkulatorer_temperaturkalkulator;2877
D;;;;forbruker_eksperter;2793
D;;;;forbruker_kontrakter;2855
D;;;;siste100;2889
B;;;;forbruker_digital;3612
S;forbruker_digital;3612;04003000;forbruker_digital_nyheter;3613
R;forbruker_digital;3612;;forbruker_digital_nyheter_mobil;3614
R;forbruker_digital;3612;;forbruker_digital_nyheter_mobil_gps;3616
R;forbruker_digital;3612;;forbruker_digital_nyheter_mobil_pda;3615
R;forbruker_digital;3612;;forbruker_digital_nyheter_data;3617
R;forbruker_digital;3612;;forbruker_digital_nyheter_data_baerbar;3618
R;forbruker_digital;3612;;forbruker_digital_nyheter_data_hardware;3621
R;forbruker_digital;3612;;forbruker_digital_nyheter_data_programvare;3620
R;forbruker_digital;3612;;forbruker_digital_nyheter_data_stasjonaer;3619
R;forbruker_digital;3612;;forbruker_digital_nyheter_internett;3622
R;forbruker_digital;3612;;forbruker_digital_nyheter_internett_traadloest;3624
R;forbruker_digital;3612;;forbruker_digital_nyheter_internett_bredband;3623
R;forbruker_digital;3612;;forbruker_digital_nyheter_kamera;3625
R;forbruker_digital;3612;;forbruker_digital_nyheter_kamera_video;3627
R;forbruker_digital;3612;;forbruker_digital_nyheter_kamera_foto;3626
R;forbruker_digital;3612;;forbruker_digital_nyheter_lyd;3638
R;forbruker_digital;3612;;forbruker_digital_nyheter_lyd_hifi;3640
R;forbruker_digital;3612;;forbruker_digital_nyheter_lyd_surround;3639
R;forbruker_digital;3612;;forbruker_digital_nyheter_dvd;3632
R;forbruker_digital;3612;;forbruker_digital_nyheter_spill;3633
R;forbruker_digital;3612;;forbruker_digital_nyheter_spill_playstation;3634
R;forbruker_digital;3612;;forbruker_digital_nyheter_spill_pc;3636
R;forbruker_digital;3612;;forbruker_digital_nyheter_spill_xbox;3635
R;forbruker_digital;3612;;forbruker_digital_nyheter_mpr;3637
R;forbruker_digital;3612;;forbruker_digital_nyheter_tv;3628
R;forbruker_digital;3612;;forbruker_digital_nyheter_tv_lcd;3629
R;forbruker_digital;3612;;forbruker_digital_nyheter_tv_projektor;3631
R;forbruker_digital;3612;;forbruker_digital_nyheter_tv_plasma;3630
R;forbruker_digital;3612;;forbruker_digital_tester;3641
R;forbruker_digital;3612;;forbruker_digital_tester_stortester;3642
R;forbruker_digital;3612;;forbruker_digital_tester_gps;5921
R;forbruker_digital;3612;;forbruker_digital_tester_data;3644
R;forbruker_digital;3612;;forbruker_digital_tester_digitalkamera;3645
R;forbruker_digital;3612;;forbruker_digital_tester_tv;3646
R;forbruker_digital;3612;;forbruker_digital_tester_dvd;3647
R;forbruker_digital;3612;;forbruker_digital_tester_mp3;3648
R;forbruker_digital;3612;;forbruker_digital_tester_lyd;3649
R;forbruker_digital;3612;;forbruker_digital_tester_spill;3650
R;forbruker_digital;3612;;forbruker_digital_tester_printer;3792
R;forbruker_digital;3612;;forbruker_digital_tester_hodetelefoner;4032
R;forbruker_digital;3612;;forbruker_digital_tester_radio;4072
R;forbruker_digital;3612;;forbruker_digital_tester_pcskjermer;4855
R;forbruker_digital;3612;;forbruker_digital_tester_sok;4876
R;forbruker_digital;3612;;forbruker_digital_tester_bluetooth;5555
R;forbruker_digital;3612;;forbruker_digital_tester_mobil;3643
R;forbruker_digital;3612;;forbruker_digital_guider;3651
R;forbruker_digital;3612;;forbruker_digital_guider_kjopshjelp;3652
R;forbruker_digital;3612;;forbruker_digital_guider_datahjelp;3653
R;forbruker_digital;3612;;forbruker_digital_guider_eksperter;3656
R;forbruker_digital;3612;;forbruker_digital_guider_eksperter_digitalfoto;3812
R;forbruker_digital;3612;;forbruker_digital_guider_eksperter_mobil;3832
